latitude,longitude,beauty_medical_hs,sporting_goods_fb,restaurants_hs,apparel_fb
1.169,110.571,20,0,20,0
1.172,110.569,0,0,19,0
1.173,110.568,0,0,20,0
1.174,110.568,0,0,20,0
1.175,110.567,19,0,19,0
1.18,110.564,20,20,20,0
1.181,110.563,0,0,20,0
1.237,111.464,0,0,19,0
1.395,110.348,13,0,20,0
1.395,110.349,0,0,20,0
1.395,110.351,1,0,20,16
1.396,110.343,0,0,20,0
1.397,110.343,19,0,20,0
1.411,111.528,10,0,20,18
1.416,110.153,18,0,20,0
1.417,110.156,15,0,20,0
1.417,110.157,17,0,20,0
1.417,110.337,15,0,17,0
1.418,110.158,20,20,20,0
1.418,110.159,20,0,20,0
1.418,110.338,18,0,18,15
1.419,110.338,19,0,20,0
1.42,110.339,5,0,19,0
1.429,110.328,0,0,20,0
1.433,110.349,0,0,16,0
1.447,103.408,0,18,19,0
1.447,110.335,3,0,12,1
1.45,103.594,0,15,16,0
1.45,103.595,18,10,14,20
1.451,103.596,18,12,11,19
1.451,103.597,20,17,16,19
1.452,103.591,0,0,15,0
1.452,103.592,0,18,17,0
1.452,103.593,0,19,19,0
1.452,103.594,20,19,20,0
1.452,103.597,0,20,16,0
1.452,103.598,0,20,20,20
1.453,103.588,0,0,18,16
1.453,103.598,19,10,17,0
1.454,103.596,0,13,20,0
1.454,103.597,0,18,17,0
1.454,110.41,0,0,20,0
1.454,110.411,0,19,20,0
1.455,110.448,19,20,19,20
1.456,110.445,0,20,20,0
1.456,110.446,20,0,20,20
1.456,110.447,20,20,20,20
1.458,103.652,20,14,1,0
1.459,103.652,14,20,18,0
1.459,103.763,15,0,16,0
1.459,103.764,12,18,18,0
1.459,103.765,12,20,19,20
1.459,103.766,0,12,19,19
1.461,103.763,0,0,18,0
1.461,103.765,20,20,20,19
1.461,103.766,0,16,20,0
1.462,103.759,0,18,20,17
1.463,110.306,19,0,20,0
1.464,103.761,15,20,20,20
1.464,103.772,7,20,20,0
1.465,103.753,15,13,14,12
1.465,103.754,0,11,19,0
1.465,103.755,3,12,20,17
1.465,103.761,0,16,20,0
1.465,103.903,0,17,19,20
1.466,103.752,20,0,20,19
1.466,103.753,12,13,20,14
1.466,103.755,20,15,6,2
1.466,103.898,0,0,20,18
1.466,103.901,15,20,20,0
1.466,103.903,16,17,20,0
1.467,103.753,0,9,16,0
1.467,103.904,19,12,18,0
1.467,103.905,0,19,19,19
1.467,110.302,0,0,20,0
1.468,103.752,0,0,20,17
1.468,103.758,0,19,16,0
1.468,103.904,0,0,19,0
1.469,103.763,13,14,7,6
1.469,103.764,0,17,15,19
1.469,103.905,0,19,19,20
1.469,110.301,0,20,20,0
1.47,103.627,0,12,12,17
1.47,103.655,6,19,1,0
1.47,103.743,18,0,18,18
1.47,103.903,0,0,18,19
1.47,103.904,20,17,17,0
1.47,110.346,14,19,20,0
1.471,103.685,16,15,11,20
1.471,103.76,18,15,2,0
1.471,103.9,0,20,20,19
1.471,103.903,0,19,14,7
1.471,110.299,0,0,20,0
1.471,110.33,12,4,20,0
1.472,103.682,0,0,20,20
1.472,103.687,4,18,11,12
1.472,103.759,11,0,18,6
1.472,103.763,0,16,17,18
1.473,110.344,15,19,18,18
1.474,103.639,0,18,16,0
1.474,103.762,16,11,6,19
1.474,103.764,1,19,1,9
1.475,103.666,19,1,5,17
1.475,103.679,11,12,11,17
1.475,103.758,20,18,18,0
1.475,103.762,12,9,7,14
1.476,103.653,11,1,3,0
1.476,103.678,13,0,13,0
1.476,103.748,15,8,16,19
1.476,103.754,11,2,15,0
1.476,103.761,17,14,17,16
1.476,103.763,4,18,19,16
1.476,103.896,0,12,9,8
1.476,110.296,0,0,20,0
1.476,110.348,13,0,18,12
1.477,103.678,8,5,5,14
1.477,103.679,20,15,16,20
1.477,103.68,16,17,16,15
1.477,103.759,17,7,16,0
1.477,103.763,10,19,17,16
1.477,103.771,11,8,14,10
1.477,103.897,0,19,12,18
1.477,110.295,20,0,20,0
1.478,103.655,16,4,6,1
1.478,103.661,13,9,16,0
1.478,103.676,0,0,12,0
1.478,103.679,0,3,1,10
1.478,103.737,0,18,18,17
1.478,103.748,0,18,18,0
1.478,103.761,0,18,19,8
1.478,103.762,5,0,17,13
1.478,103.763,6,19,12,19
1.478,103.884,0,10,20,0
1.478,103.89,0,14,19,0
1.478,103.893,17,12,15,17
1.478,103.894,0,19,19,0
1.478,103.895,0,0,15,20
1.478,103.897,0,19,19,15
1.478,110.346,4,1,1,1
1.478,110.347,14,6,13,8
1.478,110.348,2,18,18,0
1.479,103.392,18,17,17,0
1.479,103.393,16,14,13,20
1.479,103.396,20,17,16,20
1.479,103.397,19,17,16,20
1.479,103.4,20,18,19,20
1.479,103.401,0,0,20,0
1.479,103.683,19,18,18,0
1.479,103.687,5,13,10,10
1.479,103.74,11,9,11,0
1.479,103.748,16,1,5,17
1.479,103.752,10,12,6,13
1.479,103.755,0,19,16,0
1.479,103.759,0,17,18,19
1.479,103.761,4,19,17,7
1.479,103.763,4,0,20,0
1.479,103.767,4,13,13,0
1.479,103.768,1,1,5,11
1.479,103.911,0,11,18,17
1.48,103.39,8,20,14,0
1.48,103.392,17,17,14,15
1.48,103.393,18,19,16,0
1.48,103.394,19,17,13,20
1.48,103.395,20,16,15,19
1.48,103.396,20,13,13,20
1.48,103.397,0,20,18,20
1.48,103.4,18,0,19,19
1.48,103.402,0,20,20,0
1.48,103.73,0,19,17,0
1.48,103.737,3,3,11,0
1.48,103.752,1,8,1,10
1.48,103.759,8,3,7,12
1.48,103.762,0,20,18,16
1.48,103.765,5,12,16,17
1.48,103.767,3,12,1,7
1.48,103.768,3,3,7,3
1.48,103.772,1,4,1,2
1.48,103.918,0,18,19,12
1.48,103.919,0,2,12,7
1.48,110.311,0,0,20,0
1.481,103.391,0,19,1,0
1.481,103.395,17,17,14,16
1.481,103.401,0,20,18,19
1.481,103.652,1,19,13,10
1.481,103.679,12,14,8,12
1.481,103.681,7,10,15,18
1.481,103.692,0,0,12,9
1.481,103.693,0,18,2,8
1.481,103.737,16,13,11,1
1.481,103.747,6,13,17,14
1.481,103.755,11,20,18,4
1.481,103.756,10,7,7,14
1.481,103.757,11,4,8,17
1.481,103.761,0,19,7,19
1.481,103.763,10,18,19,12
1.481,103.764,5,12,11,8
1.481,103.77,16,6,6,11
1.481,103.773,6,14,2,11
1.481,103.774,8,3,1,7
1.481,103.88,0,6,19,0
1.481,103.888,0,0,20,8
1.481,103.889,0,0,8,17
1.481,103.912,17,12,19,0
1.481,110.34,17,0,20,14
1.482,103.391,18,14,13,2
1.482,103.394,19,17,12,0
1.482,103.395,0,16,19,0
1.482,103.4,0,18,17,0
1.482,103.401,18,19,16,18
1.482,103.402,14,18,17,19
1.482,103.403,20,20,20,0
1.482,103.657,0,20,15,9
1.482,103.659,8,3,5,14
1.482,103.667,0,16,5,0
1.482,103.668,0,15,4,12
1.482,103.68,13,9,13,20
1.482,103.681,11,14,10,16
1.482,103.682,8,11,3,4
1.482,103.688,10,9,3,17
1.482,103.716,6,1,17,1
1.482,103.739,19,9,19,12
1.482,103.743,16,3,4,17
1.482,103.75,20,15,4,12
1.482,103.754,10,15,17,17
1.482,103.756,20,16,10,14
1.482,103.761,8,6,2,18
1.482,103.762,0,19,13,18
1.482,103.763,16,12,18,0
1.482,103.765,8,15,10,17
1.482,103.767,9,7,3,4
1.482,103.768,1,11,11,20
1.482,103.769,7,2,2,1
1.482,103.771,11,11,1,13
1.482,103.772,5,5,1,9
1.482,103.773,11,6,2,13
1.482,103.888,9,13,13,0
1.483,103.391,18,0,17,0
1.483,103.404,15,18,19,19
1.483,103.406,16,18,17,17
1.483,103.407,7,6,18,0
1.483,103.657,11,11,12,12
1.483,103.674,18,6,1,18
1.483,103.675,8,12,11,0
1.483,103.679,10,8,6,20
1.483,103.68,6,10,6,10
1.483,103.682,11,19,16,19
1.483,103.685,6,14,2,14
1.483,103.716,16,11,14,13
1.483,103.728,0,6,16,17
1.483,103.731,20,16,20,14
1.483,103.733,17,11,14,0
1.483,103.735,0,0,19,14
1.483,103.737,18,0,5,18
1.483,103.738,16,2,11,0
1.483,103.74,13,4,9,15
1.483,103.749,0,8,9,0
1.483,103.755,16,0,8,0
1.483,103.759,2,15,12,0
1.483,103.762,5,9,4,0
1.483,103.765,9,17,7,9
1.483,103.767,20,20,5,16
1.483,103.771,4,5,1,10
1.483,103.772,18,5,1,3
1.483,103.773,13,10,1,9
1.483,103.774,1,8,8,5
1.483,103.775,5,4,3,12
1.483,103.899,0,9,10,12
1.484,103.403,0,19,15,2
1.484,103.404,0,15,15,0
1.484,103.405,0,15,19,12
1.484,103.66,0,19,14,0
1.484,103.663,0,20,17,0
1.484,103.665,8,16,14,0
1.484,103.667,12,0,12,0
1.484,103.678,0,7,5,9
1.484,103.68,15,12,9,8
1.484,103.681,8,11,6,16
1.484,103.684,5,1,1,12
1.484,103.69,0,10,1,11
1.484,103.691,13,1,1,17
1.484,103.694,8,10,2,1
1.484,103.696,3,0,5,9
1.484,103.706,8,9,1,2
1.484,103.724,0,14,19,0
1.484,103.727,0,3,14,11
1.484,103.733,7,15,14,3
1.484,103.737,9,17,4,5
1.484,103.738,11,4,10,18
1.484,103.745,11,8,9,2
1.484,103.747,18,7,11,13
1.484,103.751,19,13,16,0
1.484,103.76,16,20,6,20
1.484,103.762,6,12,9,15
1.484,103.763,14,19,16,14
1.484,103.765,8,13,10,9
1.484,103.766,6,10,9,16
1.484,103.767,4,1,2,11
1.484,103.772,2,8,1,8
1.484,103.773,13,11,11,17
1.484,103.912,0,15,19,0
1.484,103.936,0,0,17,0
1.484,103.937,0,19,19,0
1.484,103.947,0,19,18,18
1.485,103.407,14,11,17,13
1.485,103.408,12,14,13,16
1.485,103.41,4,15,17,0
1.485,103.411,12,19,19,10
1.485,103.658,0,11,19,12
1.485,103.66,14,18,7,0
1.485,103.661,5,7,8,13
1.485,103.668,9,13,12,15
1.485,103.68,0,7,2,13
1.485,103.682,18,12,12,12
1.485,103.683,6,9,9,2
1.485,103.693,0,18,11,12
1.485,103.701,14,14,4,18
1.485,103.721,12,16,18,14
1.485,103.724,0,7,15,6
1.485,103.725,17,10,17,15
1.485,103.729,16,19,18,18
1.485,103.732,9,16,5,1
1.485,103.736,20,19,8,0
1.485,103.74,0,1,7,0
1.485,103.741,1,3,5,3
1.485,103.742,6,17,9,0
1.485,103.743,14,6,6,0
1.485,103.744,19,0,16,18
1.485,103.747,12,18,8,8
1.485,103.748,20,1,6,8
1.485,103.751,11,19,16,4
1.485,103.752,10,11,6,1
1.485,103.753,9,17,13,11
1.485,103.76,7,8,10,5
1.485,103.762,15,14,2,16
1.485,103.764,15,12,12,16
1.485,103.765,3,9,6,10
1.485,103.766,8,11,12,8
1.485,103.768,10,7,3,1
1.485,103.771,4,2,1,7
1.485,103.774,6,2,1,9
1.485,103.882,0,15,11,12
1.485,103.936,0,0,18,19
1.485,110.351,14,19,9,10
1.486,103.41,0,15,19,0
1.486,103.411,12,16,20,0
1.486,103.412,16,9,19,0
1.486,103.662,15,14,8,14
1.486,103.666,0,18,18,0
1.486,103.67,2,18,2,5
1.486,103.676,6,12,6,19
1.486,103.678,10,20,10,0
1.486,103.682,20,18,7,11
1.486,103.685,7,1,1,0
1.486,103.687,19,15,4,3
1.486,103.69,0,10,3,9
1.486,103.692,0,9,8,17
1.486,103.696,0,1,4,1
1.486,103.716,8,0,16,17
1.486,103.721,0,13,19,18
1.486,103.729,18,13,14,17
1.486,103.73,18,12,16,9
1.486,103.733,0,6,1,19
1.486,103.734,0,7,12,1
1.486,103.735,4,5,5,9
1.486,103.739,19,8,16,2
1.486,103.741,11,4,4,9
1.486,103.742,15,9,14,12
1.486,103.743,19,17,10,0
1.486,103.744,7,6,13,6
1.486,103.746,18,0,16,19
1.486,103.747,17,3,7,0
1.486,103.751,12,9,11,6
1.486,103.752,0,0,19,0
1.486,103.756,10,17,10,4
1.486,103.757,7,12,4,6
1.486,103.758,7,20,13,19
1.486,103.763,11,10,9,20
1.486,103.764,0,14,14,20
1.486,103.767,11,1,6,12
1.486,103.77,1,15,1,1
1.486,103.773,10,7,5,4
1.486,103.774,0,11,1,20
1.486,103.876,14,19,16,0
1.486,103.881,17,18,11,0
1.486,103.882,15,11,13,8
1.486,103.883,17,11,20,17
1.486,110.349,1,15,4,0
1.486,110.35,18,16,12,0
1.487,103.411,6,12,8,17
1.487,103.663,17,16,9,9
1.487,103.664,18,16,14,0
1.487,103.665,4,15,4,12
1.487,103.674,14,11,1,5
1.487,103.678,0,9,11,19
1.487,103.679,14,4,11,10
1.487,103.683,13,3,1,3
1.487,103.685,0,13,16,0
1.487,103.686,18,14,1,16
1.487,103.687,0,0,16,0
1.487,103.69,0,17,10,11
1.487,103.692,16,15,3,9
