latitude,longitude,travel_agency_hs,hotels_online_hs,hotels_offline_hs,grocery_stores_fb,electronics_appliances_hs
1.247,103.840,3,0,1,16,1
1.255,103.824,20,13,19,18,0
1.264,103.820,6,17,10,19,9
1.264,103.822,13,0,19,16,13
1.265,103.821,14,19,14,18,9
1.266,103.818,19,0,2,15,13
1.266,103.822,10,2,17,17,13
1.266,103.823,7,18,4,20,1
1.266,103.824,18,11,3,20,13
1.267,103.819,18,0,2,16,11
1.267,103.821,7,13,12,19,17
1.267,103.824,1,10,18,20,19
1.267,103.825,1,19,6,14,1
1.267,103.827,9,0,20,20,0
1.267,103.828,8,0,12,14,0
1.267,103.838,0,0,18,20,19
1.268,103.819,17,0,6,19,0
1.268,103.822,2,12,14,16,14
1.268,103.823,5,8,15,17,14
1.268,103.825,15,11,13,18,1
1.269,103.825,5,19,6,10,16
1.269,103.831,10,13,13,12,16
1.269,103.832,18,15,13,1,16
1.269,103.839,16,0,18,0,0
1.27,103.821,17,20,8,17,14
1.27,103.822,12,1,2,15,10
1.27,103.829,7,2,13,2,18
1.27,103.830,2,0,15,15,18
1.27,103.832,1,0,16,19,16
1.27,103.838,18,0,6,0,1
1.27,103.840,19,0,6,18,2
1.271,103.819,0,0,0,1,14
1.271,103.820,5,1,2,19,15
1.271,103.822,14,0,17,20,6
1.271,103.823,16,0,7,13,10
1.271,103.825,1,1,2,4,8
1.271,103.828,5,0,8,19,11
1.271,103.829,16,0,16,15,18
1.271,103.830,2,19,7,19,10
1.271,103.831,14,20,4,18,18
1.271,103.834,12,0,1,18,0
1.271,103.835,19,6,3,16,3
1.271,103.838,8,4,13,17,0
1.271,103.841,18,3,0,20,0
1.272,103.821,1,20,10,19,17
1.272,103.825,14,1,15,20,1
1.272,103.826,1,8,1,19,19
1.272,103.827,17,2,4,9,16
1.272,103.828,1,1,1,11,4
1.272,103.830,1,10,1,4,1
1.272,103.832,3,10,4,15,17
1.272,103.834,14,0,15,15,14
1.272,103.835,3,2,1,17,1
1.272,103.838,13,18,8,20,17
1.272,103.840,1,1,1,19,2
1.273,103.817,1,0,12,1,0
1.273,103.819,13,0,15,19,18
1.273,103.822,15,0,16,16,20
1.273,103.823,7,19,12,18,16
1.273,103.824,17,0,5,0,0
1.273,103.825,13,0,9,19,9
1.273,103.827,1,0,12,16,11
1.273,103.828,1,0,3,2,12
1.273,103.833,3,0,18,15,15
1.273,103.834,6,12,8,15,17
1.273,103.835,16,15,14,14,16
1.273,103.836,9,18,1,9,7
1.273,103.839,3,1,1,17,7
1.273,103.840,16,0,2,20,0
1.273,103.844,1,1,1,10,0
1.274,103.799,6,0,15,3,12
1.274,103.809,0,1,20,19,16
1.274,103.810,14,3,0,16,0
1.274,103.817,20,0,20,4,19
1.274,103.818,16,0,3,16,17
1.274,103.819,8,0,17,15,14
1.274,103.820,14,0,5,20,2
1.274,103.822,1,0,16,14,6
1.274,103.823,19,13,11,1,5
1.274,103.824,2,18,3,17,14
1.274,103.827,14,1,2,11,14
1.274,103.830,3,6,2,9,9
1.274,103.831,9,3,5,6,1
1.274,103.832,1,2,1,14,16
1.274,103.835,15,4,14,12,12
1.274,103.836,4,2,5,16,16
1.274,103.837,17,16,9,17,17
1.274,103.841,16,0,3,20,0
1.274,103.846,2,6,1,20,16
1.275,103.796,19,1,19,0,19
1.275,103.797,11,15,18,14,17
1.275,103.798,5,1,11,15,14
1.275,103.799,11,3,17,16,18
1.275,103.800,9,17,13,9,19
1.275,103.803,3,1,11,14,1
1.275,103.804,5,1,19,17,0
1.275,103.806,3,0,0,17,0
1.275,103.807,11,0,0,17,0
1.275,103.808,19,0,20,16,17
1.275,103.811,10,0,0,18,0
1.275,103.816,19,10,19,0,19
1.275,103.820,17,0,2,12,4
1.275,103.821,11,1,4,15,0
1.275,103.822,13,0,8,0,0
1.275,103.825,13,0,15,20,11
1.275,103.827,8,4,5,19,19
1.275,103.828,8,1,14,18,1
1.275,103.829,10,12,4,9,3
1.275,103.830,8,11,1,11,7
1.275,103.831,8,16,10,13,11
1.275,103.832,5,1,11,11,10
1.275,103.833,13,14,14,9,4
1.275,103.835,7,17,8,3,17
1.275,103.838,17,9,10,18,15
1.275,103.842,18,13,14,17,19
1.275,103.843,14,9,13,14,13
1.276,103.796,14,0,19,19,0
1.276,103.798,19,0,1,14,1
1.276,103.799,1,1,4,12,15
1.276,103.801,16,0,0,12,0
1.276,103.803,3,0,18,17,16
1.276,103.804,3,9,6,3,16
1.276,103.806,11,6,12,12,7
1.276,103.813,13,0,12,14,13
1.276,103.814,9,1,15,11,20
1.276,103.817,8,10,13,18,19
1.276,103.818,12,0,16,6,10
1.276,103.819,1,16,9,15,17
1.276,103.820,12,0,14,17,17
1.276,103.821,1,3,8,16,11
1.276,103.830,7,4,1,14,1
1.276,103.831,11,14,9,12,14
1.276,103.832,16,18,2,5,9
1.276,103.834,1,15,6,14,3
1.276,103.835,2,9,1,16,2
1.276,103.838,13,3,1,15,14
1.276,103.839,17,20,15,15,15
1.276,103.841,9,0,11,16,18
1.276,103.843,8,10,6,20,9
1.276,103.844,4,4,3,14,12
1.276,103.845,9,4,4,15,6
1.276,103.846,4,12,2,12,9
1.276,103.847,9,5,2,12,11
1.276,103.848,12,16,9,19,7
1.277,103.796,4,0,0,17,10
1.277,103.798,6,0,1,16,12
1.277,103.799,6,18,12,7,10
1.277,103.802,1,1,14,12,20
1.277,103.803,1,13,18,0,18
1.277,103.805,11,7,18,1,16
1.277,103.806,17,20,13,2,2
1.277,103.807,3,0,14,17,17
1.277,103.808,3,1,17,3,20
1.277,103.811,11,17,13,7,1
1.277,103.812,18,17,18,1,17
1.277,103.815,14,20,13,9,17
1.277,103.819,1,12,11,9,17
1.277,103.821,4,17,14,12,3
1.277,103.825,14,17,13,13,20
1.277,103.826,15,20,14,4,19
1.277,103.827,1,6,17,13,2
1.277,103.833,10,18,13,10,5
1.277,103.837,6,8,4,11,10
1.277,103.838,9,1,6,12,16
1.277,103.840,8,7,2,13,13
1.277,103.843,9,7,5,18,13
1.277,103.844,6,2,3,15,11
1.277,103.846,2,2,1,13,13
1.277,103.847,6,2,1,16,7
1.277,103.848,9,2,4,13,12
1.277,103.850,10,0,17,20,0
1.277,103.853,10,1,1,20,11
1.278,103.800,18,19,19,20,5
1.278,103.801,18,0,10,11,6
1.278,103.805,11,12,10,17,0
1.278,103.806,11,14,9,6,18
1.278,103.807,12,8,17,7,1
1.278,103.809,1,15,11,2,16
1.278,103.810,6,0,9,10,15
1.278,103.811,12,7,12,8,9
1.278,103.813,4,1,7,1,3
1.278,103.814,7,3,2,5,12
1.278,103.815,12,10,18,2,4
1.278,103.816,4,6,12,10,11
1.278,103.817,6,18,7,9,14
1.278,103.818,7,16,9,10,15
1.278,103.819,4,13,11,8,9
1.278,103.820,7,4,12,5,15
1.278,103.822,2,10,3,1,14
1.278,103.823,7,5,11,9,16
1.278,103.824,8,9,14,14,11
1.278,103.825,9,10,8,16,17
1.278,103.826,9,19,11,9,15
1.278,103.827,12,2,12,15,16
1.278,103.831,9,14,9,17,17
1.278,103.833,9,7,9,13,13
1.278,103.835,5,5,6,10,4
1.278,103.836,4,6,3,16,13
1.278,103.837,6,9,6,11,13
1.278,103.840,4,8,4,13,11
1.278,103.841,2,5,1,12,11
1.278,103.843,10,15,5,7,13
1.278,103.844,7,6,4,15,7
1.278,103.848,2,5,1,9,7
1.278,103.849,2,1,1,15,12
1.279,103.798,15,0,12,20,0
1.279,103.799,8,0,20,20,13
1.279,103.800,20,0,15,6,17
1.279,103.803,14,11,11,16,17
1.279,103.804,1,1,20,12,10
1.279,103.805,20,4,10,10,14
1.279,103.807,1,16,1,11,3
1.279,103.808,4,18,3,7,7
1.279,103.809,1,7,6,9,20
1.279,103.811,10,9,1,1,1
1.279,103.812,1,3,4,10,6
1.279,103.813,6,7,5,2,14
1.279,103.814,9,9,15,8,7
1.279,103.816,2,1,5,3,12
1.279,103.820,5,6,14,3,10
1.279,103.821,8,3,12,7,17
1.279,103.823,2,12,8,9,3
1.279,103.825,6,18,2,14,9
1.279,103.826,1,6,3,12,11
1.279,103.827,8,16,3,14,10
1.279,103.828,13,15,4,9,6
1.279,103.829,4,10,13,4,14
1.279,103.830,11,15,9,10,8
1.279,103.831,4,13,8,12,11
1.279,103.833,9,5,5,15,14
1.279,103.835,11,10,9,12,7
1.279,103.837,1,4,6,16,8
1.279,103.838,9,7,6,13,12
1.279,103.840,8,11,3,13,12
